customer_id,age,tenure_months,monthly_charges,total_charges,num_services,contract_type,payment_method,internet_service,churned
CUST_000000,52,40,108.53,4321.22,4,month-to-month,bank_transfer,Fiber optic,1
CUST_000001,42,27,38.85,1067.52,2,one-year,electronic_check,No,0
CUST_000002,54,2,32.27,100.0,4,month-to-month,bank_transfer,Fiber optic,1
CUST_000003,67,8,95.73,821.81,3,two-year,bank_transfer,No,1
CUST_000004,41,8,136.5,1115.77,4,two-year,bank_transfer,DSL,0
CUST_000005,41,6,57.52,224.07,1,one-year,mailed_check,Fiber optic,0
CUST_000006,68,17,36.17,520.99,3,two-year,electronic_check,Fiber optic,0
CUST_000007,56,18,117.28,2056.32,5,month-to-month,electronic_check,Fiber optic,1
CUST_000008,37,10,69.12,662.93,5,two-year,bank_transfer,Fiber optic,0
CUST_000009,53,10,132.39,1428.97,1,two-year,mailed_check,DSL,1
CUST_000010,38,42,26.64,1002.59,1,two-year,credit_card,DSL,0
CUST_000011,38,37,113.33,4157.48,5,one-year,mailed_check,DSL,0
CUST_000012,48,8,45.69,460.83,2,one-year,mailed_check,No,0
CUST_000013,18,58,35.02,2001.21,8,month-to-month,mailed_check,Fiber optic,1
CUST_000014,19,72,98.74,7155.19,1,month-to-month,mailed_check,DSL,1
CUST_000015,36,9,83.28,735.6,5,month-to-month,mailed_check,No,0
CUST_000016,29,10,113.14,1157.12,7,two-year,bank_transfer,DSL,1
CUST_000017,49,16,68.92,1079.89,4,month-to-month,bank_transfer,Fiber optic,0
CUST_000018,31,67,63.46,4318.44,4,one-year,electronic_check,DSL,0
CUST_000019,23,50,75.7,3630.62,2,month-to-month,electronic_check,No,1
CUST_000020,66,2,147.23,258.14,5,month-to-month,electronic_check,Fiber optic,1
CUST_000021,41,11,53.46,617.75,4,two-year,electronic_check,DSL,0
CUST_000022,46,19,65.43,1296.6,7,two-year,electronic_check,Fiber optic,0
CUST_000023,23,16,54.36,1019.01,3,one-year,mailed_check,DSL,0
CUST_000024,36,5,92.57,423.76,5,month-to-month,bank_transfer,DSL,1
CUST_000025,46,46,51.46,2514.88,5,month-to-month,electronic_check,DSL,0
CUST_000026,27,27,136.38,3616.39,2,month-to-month,bank_transfer,DSL,1
CUST_000027,50,43,33.73,1583.33,4,month-to-month,credit_card,No,1
CUST_000028,35,46,116.66,5448.07,2,month-to-month,electronic_check,Fiber optic,1
CUST_000029,40,33,39.61,1215.83,4,month-to-month,mailed_check,DSL,0
CUST_000030,35,13,114.22,1515.63,1,month-to-month,electronic_check,DSL,1
CUST_000031,72,22,138.4,3039.75,3,one-year,bank_transfer,DSL,1
CUST_000032,44,4,40.7,225.35,5,month-to-month,electronic_check,DSL,0
CUST_000033,29,26,145.53,3761.44,3,month-to-month,credit_card,Fiber optic,0
CUST_000034,57,4,90.91,332.9,2,month-to-month,bank_transfer,DSL,1
CUST_000035,26,28,118.47,3453.96,2,two-year,electronic_check,Fiber optic,0
CUST_000036,48,6,101.53,599.29,5,month-to-month,mailed_check,Fiber optic,0
CUST_000037,18,3,49.28,230.48,1,month-to-month,electronic_check,DSL,1
CUST_000038,25,4,47.01,165.51,1,month-to-month,credit_card,No,1
CUST_000039,47,1,86.57,253.24,3,two-year,mailed_check,DSL,0
CUST_000040,56,30,34.61,970.53,4,one-year,mailed_check,DSL,0
CUST_000041,47,31,26.73,767.31,1,one-year,electronic_check,DSL,1
CUST_000042,43,17,38.53,807.44,7,month-to-month,electronic_check,DSL,1
CUST_000043,40,4,88.19,308.28,1,one-year,bank_transfer,DSL,1
CUST_000044,22,2,119.11,398.32,2,one-year,electronic_check,DSL,1
CUST_000045,34,1,27.51,116.7,2,one-year,credit_card,No,0
CUST_000046,38,4,45.92,168.22,5,two-year,bank_transfer,Fiber optic,0
CUST_000047,60,53,116.28,5981.58,3,month-to-month,credit_card,Fiber optic,0
CUST_000048,50,6,38.37,228.31,2,month-to-month,electronic_check,Fiber optic,1
CUST_000049,18,10,29.9,309.2,4,two-year,credit_card,Fiber optic,0
CUST_000050,49,2,54.36,225.45,2,one-year,mailed_check,DSL,1
CUST_000051,39,6,151.6,1068.47,2,month-to-month,bank_transfer,DSL,1
CUST_000052,34,17,124.33,2045.06,5,month-to-month,bank_transfer,DSL,0
CUST_000053,54,22,66.65,1546.37,2,two-year,electronic_check,Fiber optic,0
CUST_000054,60,6,123.53,817.72,4,month-to-month,electronic_check,DSL,1
CUST_000055,58,1,83.14,190.49,1,month-to-month,electronic_check,DSL,1
CUST_000056,32,11,110.01,1260.0,8,month-to-month,credit_card,DSL,0
CUST_000057,40,6,95.05,376.03,1,two-year,electronic_check,DSL,1
CUST_000058,49,5,115.09,559.9,5,two-year,credit_card,DSL,1
CUST_000059,59,72,57.71,4039.75,2,month-to-month,bank_transfer,DSL,0
CUST_000060,37,22,36.86,790.59,5,one-year,bank_transfer,DSL,0
CUST_000061,42,19,84.74,1708.02,1,month-to-month,electronic_check,DSL,1
CUST_000062,28,12,119.99,1470.45,4,month-to-month,bank_transfer,DSL,1
CUST_000063,27,13,104.38,1471.76,3,two-year,bank_transfer,DSL,0
CUST_000064,57,18,148.82,2712.99,3,month-to-month,electronic_check,DSL,1
CUST_000065,65,28,165.23,4496.72,2,month-to-month,electronic_check,Fiber optic,1
CUST_000066,43,29,34.55,749.99,2,one-year,bank_transfer,DSL,0
CUST_000067,60,4,112.87,466.36,2,month-to-month,credit_card,DSL,1
CUST_000068,50,16,112.11,1772.41,5,month-to-month,electronic_check,DSL,0
CUST_000069,35,12,138.86,1568.59,4,one-year,electronic_check,DSL,1
CUST_000070,50,49,168.05,8064.46,2,one-year,electronic_check,DSL,1
CUST_000071,68,23,119.11,2666.09,4,month-to-month,mailed_check,No,0
CUST_000072,44,18,25.84,445.61,6,month-to-month,bank_transfer,Fiber optic,1
CUST_000073,68,2,135.61,337.8,6,one-year,credit_card,DSL,1
CUST_000074,18,22,23.83,543.17,2,two-year,mailed_check,Fiber optic,1
CUST_000075,57,2,125.84,412.49,1,month-to-month,bank_transfer,DSL,1
CUST_000076,46,9,136.44,1124.39,2,two-year,bank_transfer,DSL,0
CUST_000077,40,3,77.84,321.62,2,one-year,electronic_check,Fiber optic,1
CUST_000078,46,28,114.98,3224.15,4,two-year,credit_card,DSL,1
CUST_000079,18,5,72.15,430.21,2,month-to-month,electronic_check,Fiber optic,1
CUST_000080,41,11,73.82,768.33,3,month-to-month,credit_card,Fiber optic,0
CUST_000081,50,54,62.93,3505.65,3,month-to-month,electronic_check,Fiber optic,0
CUST_000082,67,5,127.37,666.39,4,month-to-month,electronic_check,No,1
CUST_000083,37,17,132.78,2189.29,2,two-year,electronic_check,Fiber optic,1
CUST_000084,32,13,145.69,1892.73,2,month-to-month,credit_card,Fiber optic,1
CUST_000085,37,1,46.42,100.0,2,one-year,bank_transfer,DSL,1
CUST_000086,58,37,154.52,5766.2,1,month-to-month,credit_card,DSL,1
CUST_000087,49,1,131.12,100.0,4,one-year,bank_transfer,Fiber optic,0
CUST_000088,37,15,45.11,673.75,1,month-to-month,bank_transfer,No,0
CUST_000089,52,19,40.55,809.98,4,month-to-month,credit_card,Fiber optic,0
CUST_000090,46,23,47.13,1087.29,7,month-to-month,electronic_check,No,0
CUST_000091,59,28,151.25,4369.59,4,one-year,mailed_check,DSL,0
CUST_000092,34,7,95.35,744.83,2,month-to-month,electronic_check,DSL,1
CUST_000093,40,1,103.5,102.76,2,month-to-month,bank_transfer,DSL,1
CUST_000094,39,30,55.93,1699.58,6,month-to-month,bank_transfer,Fiber optic,0
CUST_000095,23,18,81.67,1499.71,1,two-year,credit_card,Fiber optic,1
CUST_000096,49,43,15.0,685.33,2,one-year,electronic_check,DSL,1
CUST_000097,48,41,69.42,2663.53,3,one-year,credit_card,No,0
CUST_000098,45,44,103.8,4537.15,2,one-year,mailed_check,Fiber optic,1
CUST_000099,41,15,35.6,385.55,6,month-to-month,bank_transfer,Fiber optic,0
CUST_000100,23,9,106.1,1082.69,3,one-year,mailed_check,Fiber optic,1
CUST_000101,38,37,41.78,1539.6,3,month-to-month,electronic_check,DSL,0
CUST_000102,39,14,108.41,1498.39,4,month-to-month,credit_card,Fiber optic,1
CUST_000103,32,4,76.09,394.05,1,one-year,electronic_check,DSL,1
CUST_000104,42,46,97.92,4546.71,3,one-year,mailed_check,DSL,0
CUST_000105,51,51,48.84,2377.82,4,month-to-month,electronic_check,Fiber optic,0
CUST_000106,73,15,36.07,534.0,8,month-to-month,credit_card,No,0
CUST_000107,47,1,132.87,100.0,3,one-year,mailed_check,Fiber optic,0
CUST_000108,48,11,54.65,426.66,1,one-year,credit_card,Fiber optic,0
CUST_000109,43,39,113.43,4354.72,4,month-to-month,credit_card,Fiber optic,0
CUST_000110,18,55,142.23,7804.52,1,month-to-month,electronic_check,DSL,0
CUST_000111,44,5,59.81,287.54,3,two-year,credit_card,Fiber optic,0
CUST_000112,45,1,62.83,100.0,1,one-year,mailed_check,Fiber optic,1
CUST_000113,80,50,132.19,6724.76,6,two-year,credit_card,DSL,0
CUST_000114,42,11,143.08,1563.66,3,month-to-month,electronic_check,DSL,1
CUST_000115,49,18,155.22,2797.66,3,month-to-month,electronic_check,DSL,1
CUST_000116,44,72,84.64,6134.2,5,month-to-month,electronic_check,DSL,1
CUST_000117,27,1,134.18,100.0,6,one-year,credit_card,DSL,1
CUST_000118,62,25,44.03,1146.35,1,month-to-month,electronic_check,DSL,1
CUST_000119,56,1,158.94,122.23,3,month-to-month,bank_transfer,Fiber optic,1
CUST_000120,56,11,164.92,1724.43,2,month-to-month,credit_card,Fiber optic,1
CUST_000121,31,39,36.65,1486.71,3,one-year,bank_transfer,Fiber optic,0
CUST_000122,66,13,68.91,1044.98,3,month-to-month,electronic_check,DSL,1
CUST_000123,23,72,40.81,3010.72,3,one-year,bank_transfer,Fiber optic,0
CUST_000124,53,19,57.89,1192.27,1,two-year,credit_card,DSL,0
CUST_000125,77,9,123.97,1063.62,1,one-year,credit_card,Fiber optic,1
CUST_000126,30,5,87.61,278.29,1,month-to-month,mailed_check,DSL,1
CUST_000127,36,10,25.59,404.95,4,two-year,electronic_check,Fiber optic,1
CUST_000128,46,11,67.88,952.1,1,month-to-month,credit_card,DSL,1
CUST_000129,37,1,158.24,312.52,2,month-to-month,electronic_check,Fiber optic,1
CUST_000130,21,11,90.07,957.23,1,two-year,credit_card,No,1
CUST_000131,46,14,65.82,806.05,3,month-to-month,credit_card,Fiber optic,1
CUST_000132,29,30,40.89,1120.05,1,month-to-month,electronic_check,DSL,0
CUST_000133,52,25,133.87,3178.43,2,month-to-month,bank_transfer,DSL,1
CUST_000134,31,29,121.13,3502.07,2,month-to-month,bank_transfer,No,1
CUST_000135,68,1,67.44,228.01,4,one-year,bank_transfer,Fiber optic,0
CUST_000136,33,5,24.31,107.38,3,month-to-month,electronic_check,No,1
CUST_000137,40,26,15.0,420.23,1,one-year,electronic_check,DSL,0
CUST_000138,57,15,56.69,987.92,4,one-year,bank_transfer,No,0
CUST_000139,26,1,92.34,100.0,2,month-to-month,electronic_check,No,1
CUST_000140,48,39,157.45,6344.13,3,month-to-month,bank_transfer,Fiber optic,0
CUST_000141,64,35,89.18,3320.38,4,month-to-month,electronic_check,DSL,0
CUST_000142,20,19,114.78,2167.76,2,two-year,electronic_check,Fiber optic,1
CUST_000143,47,1,82.76,100.0,3,one-year,bank_transfer,No,0
CUST_000144,48,34,112.36,3889.9,4,two-year,bank_transfer,No,0
CUST_000145,56,21,108.17,2236.73,2,month-to-month,bank_transfer,DSL,1
CUST_000146,26,36,53.11,1796.42,2,month-to-month,mailed_check,DSL,0
CUST_000147,25,33,56.24,1983.89,3,month-to-month,bank_transfer,Fiber optic,0
CUST_000148,52,38,88.05,3467.42,8,month-to-month,credit_card,Fiber optic,1
CUST_000149,49,17,45.17,783.48,5,month-to-month,mailed_check,Fiber optic,0
CUST_000150,48,3,64.36,100.0,2,two-year,bank_transfer,Fiber optic,0
CUST_000151,50,26,86.45,2124.64,3,month-to-month,bank_transfer,No,0
CUST_000152,34,23,130.06,3002.0,2,two-year,credit_card,DSL,1
CUST_000153,48,32,101.5,3197.97,1,month-to-month,mailed_check,DSL,1
CUST_000154,49,4,115.89,429.46,3,two-year,electronic_check,DSL,1
CUST_000155,34,5,74.95,476.96,2,month-to-month,electronic_check,No,1
CUST_000156,72,53,142.26,7612.94,4,two-year,electronic_check,Fiber optic,0
CUST_000157,52,33,105.22,3610.11,1,month-to-month,electronic_check,DSL,1
CUST_000158,27,57,130.76,7354.31,3,two-year,electronic_check,DSL,1
CUST_000159,54,34,60.61,2026.28,3,month-to-month,bank_transfer,DSL,0
CUST_000160,30,21,87.46,1912.61,2,month-to-month,bank_transfer,Fiber optic,0
CUST_000161,56,25,108.58,2759.32,2,month-to-month,electronic_check,Fiber optic,0
CUST_000162,62,52,72.99,3948.62,4,month-to-month,bank_transfer,Fiber optic,0
CUST_000163,32,20,38.39,809.94,3,one-year,credit_card,DSL,1
CUST_000164,59,24,44.68,1257.13,4,two-year,credit_card,No,0
CUST_000165,51,4,35.09,194.37,2,one-year,credit_card,DSL,1
CUST_000166,57,15,126.4,2002.18,2,one-year,mailed_check,Fiber optic,0
CUST_000167,73,30,82.61,2445.89,2,month-to-month,electronic_check,DSL,1
CUST_000168,41,7,55.47,389.72,6,one-year,electronic_check,DSL,0
CUST_000169,33,5,113.57,658.93,1,month-to-month,electronic_check,DSL,1
CUST_000170,31,9,69.8,789.47,2,two-year,bank_transfer,Fiber optic,0
CUST_000171,32,6,107.04,715.16,4,month-to-month,bank_transfer,Fiber optic,0
CUST_000172,43,5,27.64,129.88,1,one-year,electronic_check,DSL,0
CUST_000173,50,13,145.51,2029.42,3,month-to-month,electronic_check,DSL,1
CUST_000174,49,57,109.62,6029.21,4,month-to-month,bank_transfer,No,0
CUST_000175,57,16,139.32,2086.88,2,month-to-month,bank_transfer,DSL,0
CUST_000176,45,4,78.03,380.3,2,month-to-month,credit_card,DSL,0
CUST_000177,66,1,126.52,127.93,3,month-to-month,bank_transfer,Fiber optic,0
CUST_000178,41,28,32.46,969.39,5,month-to-month,mailed_check,Fiber optic,0
CUST_000179,80,11,15.0,171.44,4,two-year,electronic_check,DSL,0
CUST_000180,54,41,30.53,1308.9,2,month-to-month,credit_card,No,0
CUST_000181,32,25,108.41,2628.87,1,two-year,electronic_check,DSL,0
CUST_000182,28,38,69.69,2705.31,4,month-to-month,bank_transfer,DSL,0
CUST_000183,52,7,95.34,766.84,7,month-to-month,credit_card,DSL,0
CUST_000184,41,28,15.0,542.06,8,one-year,electronic_check,Fiber optic,0
CUST_000185,55,7,84.02,789.51,4,month-to-month,bank_transfer,DSL,1
CUST_000186,52,67,113.02,7596.42,4,month-to-month,bank_transfer,Fiber optic,0
CUST_000187,43,24,70.83,1727.22,2,one-year,electronic_check,DSL,0
CUST_000188,32,9,105.18,794.35,3,month-to-month,electronic_check,DSL,1
CUST_000189,22,7,40.96,233.55,3,one-year,electronic_check,No,0
CUST_000190,38,5,128.93,625.36,2,month-to-month,bank_transfer,Fiber optic,1
CUST_000191,57,28,88.47,2582.32,5,month-to-month,bank_transfer,DSL,1
CUST_000192,48,5,45.83,168.04,4,two-year,credit_card,Fiber optic,1
CUST_000193,26,21,46.16,1048.97,2,one-year,credit_card,Fiber optic,1
CUST_000194,47,7,92.75,649.11,5,month-to-month,bank_transfer,DSL,1
CUST_000195,50,26,148.86,3852.61,2,two-year,credit_card,Fiber optic,0
CUST_000196,31,40,62.8,2536.76,3,two-year,bank_transfer,DSL,0
CUST_000197,47,36,48.98,1724.33,4,month-to-month,credit_card,Fiber optic,1
CUST_000198,45,34,124.43,4187.66,1,month-to-month,mailed_check,Fiber optic,1
CUST_000199,27,4,121.09,313.88,6,two-year,electronic_check,DSL,1
CUST_000200,50,2,86.78,148.76,3,month-to-month,electronic_check,DSL,1
CUST_000201,53,28,77.96,2134.91,1,month-to-month,electronic_check,DSL,1
CUST_000202,61,11,63.92,651.47,1,month-to-month,bank_transfer,No,1
CUST_000203,60,13,109.49,1465.07,2,one-year,credit_card,Fiber optic,0
CUST_000204,24,1,64.41,130.27,2,two-year,electronic_check,DSL,1
CUST_000205,30,7,142.99,1024.14,2,one-year,mailed_check,Fiber optic,0
CUST_000206,52,1,78.53,178.07,6,two-year,mailed_check,DSL,0
CUST_000207,52,50,90.14,4564.7,1,month-to-month,mailed_check,Fiber optic,0
CUST_000208,52,6,91.71,520.75,4,month-to-month,electronic_check,Fiber optic,1
CUST_000209,80,19,169.35,3171.29,4,one-year,mailed_check,No,0
CUST_000210,53,1,115.31,146.6,5,two-year,electronic_check,DSL,1
CUST_000211,62,26,100.61,2673.2,4,month-to-month,electronic_check,Fiber optic,1
CUST_000212,59,9,118.02,1201.94,3,month-to-month,credit_card,Fiber optic,1
CUST_000213,54,54,103.4,5702.8,3,month-to-month,credit_card,Fiber optic,0
CUST_000214,40,52,92.34,4747.5,4,month-to-month,electronic_check,Fiber optic,0
CUST_000215,56,9,43.5,381.29,3,month-to-month,credit_card,Fiber optic,1
CUST_000216,33,55,86.85,4844.08,5,month-to-month,bank_transfer,DSL,0
